"Càmara de Comerç" "Cambra de Comerç"
"es reflexen" "es reflecteixen"
"es reflexa en" "es reflecteix en"
"\b([Dd]i)(seny.*)\b" "\1s\2" "disenyar"
confón confon
"té noticia" "té notícia"
"té constancia" "té constància"
"pretext de que" "pretext que"
"creença de que" "creença que"
"probabilitat de que" "probabilitat que"
"possibilitat de que" "possibilitat que"
"s'utilitzan" "s'utilitzen"
"S'utilitzan" "S'utilitzen"
"1ª versió" "1a versió"
"2ª versió" "2a versió"
"3ª versió" "3a versió"
"4ª versió" "4a versió"
"5ª versió" "5a versió"
"l'area" "l'àrea"
"L'area" "L'àrea"
"l'Area" "l'Àrea"
calurós calorós
caluroses caloroses
concorrer concórrer
"assabentar de que" "assabentar que"
"1\.ª edició" "1a edició"
"2\.ª edició" "2a edició"
"3\.ª edició" "3a edició"
"4\.ª edició" "4a edició"
"5\.ª edició" "5a edició"
"fins a a " "fins a "
"fins a al " "fins al "
"citat al +(\[\[[0-9]+\]\])" "citat el \1" "\"citat al\""
titol títol
Titol Títol
titols títols
Titols Títols
teletransportació teleportació
"es possible" "és possible"
"Es possible" "És possible"
"1ª edició" "1a edició"
"2ª edició" "2a edició"
"3ª edició" "3a edició"
"4ª edició" "4a edició"
"5ª edició" "5a edició"
"amb el nº" "amb el núm."
"amb el Nº" "amb el núm."
"s'ensamblen" "s'acoblen"
"S'ensamblen" "S'acoblen"
"s'ensambla" "s'acobla"
"aquella moment" "aquell moment"
"1a\. edició" "1a edició"
"2a\. edició" "2a edició"
"3a\. edició" "3a edició"
"4a\. edició" "4a edició"
"5a\. edició" "5a edició"
"una altre part" "una altra part"
"p\.ex\.:" "p. ex.:"
"p\.ex:" "p. ex.:"
"p\. ex " "p. ex. "
"p\.ex " "p. ex. "
"p\.ex\. " "p. ex. "
"360º" "360°"
"180º" "180°"
"90º" "90°"
"45º" "45°"
"270º" "270°"
"del propi autor" "del mateix autor"
"pel propi autor" "pel mateix autor"
"amb el propi autor" "amb el mateix autor"
"dels propis autors" "dels mateixos autors"
"pels propis autors" "pels mateixos autors"
"el propi autor" "el mateix autor"
"El propi autor" "El mateix autor"
"els propis autors" "els mateixos autors"
"Els propis autors" "Els mateixos autors"
"la pròpia autora" "la mateixa autora"
"amb els propis autors" "amb els mateix autors"
"sí mateixa" "si mateixa"
"sí mateix" "si mateix"
"sí mateixos" "si mateixos"
"sí mateixes" "si mateixes"
Transilvània Transsilvània
Composa Compon
elments elements
"l'antiguetat" "l'antiguitat"
antiguetat antiguitat
Antiguetat Antiguitat
"l'antigüetat" "l'antiguitat"
antigüetat antiguitat
Antigüetat Antiguitat
préviament prèviament
"l'ènfasi" "l'emfasi"
ènfasi èmfasi
"probabilitat de que" "probabilitat que"
"probabilitat de què" "probabilitat que"
"de que diposen" "de què diposen"
"de que disposa" "de què disposa"
"de que disposava" "de què disposava"
"de que disposaven" "de què disposaven"
"de que va disposar" "de què va disposar"
"de que disposà" "de què disposà"
"malgrat de que" "malgrat que"
"Malgrat de que" "Malgrat que"
"a part de que" "a part que"
"A part de que" "A part que"
"es basen en que" "es basen en el fet que"
"Es basen en que" "Es basen en el fet que"
"difereix en què" "difereix en el fet que"
"difereixen en què" "difereixen en el fet que"
"difereix en que" "difereix en el fet que"
"difereixen en que" "difereixen en el fet que"
"Difereix en què" "Difereix en el fet que"
"Difereixen en què" "Difereixen en el fet que"
"Difereix en que" "Difereix en el fet que"
"Difereixen en que" "Difereixen en el fet que"
"diferencia en què" "diferencia en el fet que"
"diferencien en què" "diferencien en el fet que"
"diferencien en que" "diferencien en el fet que"
"l'ingrès" "l'ingrés"
"s’obtè" "s'obté"
"s'obtè" "s'obté"
"S'obtè" "S'obté"
"coincideix en què" "coincideix que"
"coincideix en que" "coincideix que"
"coincideixen en què" "coincideixen que"
"coincideixen en que" "coincideixen que"
"va coincidir en que" "va coincidir que"
"van coincidir en que" "van coincidir que"
"se centra en què" "se centra en el fet que"
"insisteix en què" "insisteix que"
"insisteix en que" "insisteix que"
"insistir en què" "insistir que"
"insistir en que" "insistir que"
"rau en que" "rau en el fet que"
"està en què" "està en el fet que"
"està en que" "està en el fet que"
"estava en què" "estava en el fet que"
"estava en que" "estava en el fet que"
"Es basa en què" "Es basa en el fet que"
"es basa en què" "es basa en el fet que"
"Es basa en que" "Es basa en el fet que"
"es basa en que" "es basa en el fet que"
"en que els" "en què els"
"en que hi" "en què hi"
"en que li" "en què li"
"en que ho" "en què ho"
"en que més" "en què més"
"Consisteix en què" "Consisteix en el fet que"
"consisteix en què" "consisteix en el fet que"
"Consisteix en que" "Consisteix en el fet que"
"consisteix en que" "consisteix en el fet que"
técnics tècnics
Técnics Tècnics
técnic tècnic
Técnic Tècnic
ascendre ascendir
descendre descendir
técniques tècniques
Técniques Tècniques
"conscient de que" "conscient que"
"conscient de què" "conscient que"
"consciència de què" "consciència que"
"consciència de que" "consciència que"
"per por de què" "per por que"
"por de que" "por que"
tecnologíes tecnologies
entar entrar
"\b([Ll])a ('''[Ee]sglésia)" "\1'\2" "\"la església\""
"\b([Ll])a \[\[([Ee]sglésia)([^|\]]*)\]\]" "\1'[[\2\3]]" "\"la església\""
"\b([Ll])a \[\[([^|\]]+\|)([Ee]sglésia)([^|\]]*)\]\]" "\1'[[\2\3\4]]" "\"la església\""
"la església" "l'església"
"La església" "L'església"
"la Església" "l'Església"
"La església" "L'església"
"(\d) hà\b" "\1 ha" "\"hà\"" 
Masachusetts Massachusetts
Masachussets Massachusetts
Masachussetts Massachusetts
Aument Augment
aument augment
auments augments
"l'aument" "l'augment"
"va aumentar" "va augmentar"
"van aumentar" "van augmentar"
aumentat augmentat
aumentats augmentats
2ón 2n
2òn 2n
2ons 2ns
2ona 2a
2ones 2es
ámbit àmbit
"l'ámbit" "l'àmbit"
