"l'individuu" "l'individu"
"es nomenat" "és nomenat"
"Es nomenat" "És nomenat"
especialemnt especialment
especialmemt especialment
especímen espècimen
especímens espècimens
espectació expectació
espectativa expectativa
Espectativa Expectativa
espectatives expectatives
Espectatives Expectatives
"esperança de que" "esperança que"
"esperances de que" "esperances que"
"es podría" "es podria"
"Es podría" "Es podria"
"es possa" "es posa"
"es possés" "es posés"
espressament expressament
"es recolectava" "es recol·lectava"
"es refereix a que" "es refereix al fet que"
"es refereixen a que" "es refereixen al fet que"
"es referia a que" "es referia al fet que"
"es remonta" "es remunta"
"es remontava" "es remuntava"
"es remontaven" "es remuntaven"
"es remonten" "es remunten"
"es ressol" "es resol"
esriure escriure
èssers éssers
éss és
"es situada" "és situada"
"Es situada" "És situada"
"es situat" "és situat"
"Es situat" "És situat"
"està atribuïda" "és atribuïda"
"està atribuït" "és atribuït"
"està d'acord en que" "està d'acord que"
"està d'acord en què" "està d'acord que"
"es tà" "està"
"estan atribuïdes" "són atribuïdes"
"estan atribuïts" "són atribuïts"
"estan considerades" "són considerades"
"Estan considerades" "Són considerades"
"estan considerats" "són considerats"
"Estan considerats" "Són considerats"
"estan d'acord en que" "estan d'acord que"
"estan d'acord en què" "estan d'acord que"
estàndar estàndard
Estàndar Estàndard
EStàn Estan
"esta situada" "està situada"
"Esta situada" "Està situada"
"esta situat" "està situat"
"Esta situat" "Està situat"
estatounidenca estatunidenca
estatounidenc estatunidenc
estatounidencs estatunidencs
estatounidenques estatunidenques
"estats limítrofes" "estats limítrofs"
"Estats Unit" "Estats Units"
"Estat Units" "Estats Units"
"estatu quo" "statu quo"
"estatus quo" "statu quo"
"esta ubicada" "està ubicada"
"Esta ubicada" "Està ubicada"
"esta ubicat" "està ubicat"
"Esta ubicat" "Està ubicat"
"estava d'acord en que" "estava d'acord que"
"estava d'acord en què" "estava d'acord que"
"estaven d'acord en que" "estaven d'acord que"
"estaven d'acord en què" "estaven d'acord que"
estàven estaven
estèn estén
Estèn Estén
estoicisme estoïcisme
estònies estonianes
estoni estonià
estonis estonians
"es troba ubicada" "està ubicada"
"Es troba ubicada" "Està ubicada"
"es troba ubicat" "està ubicat"
"Es troba ubicat" "Està ubicat"
"es trobava ubicada" "estava ubicada"
"Es trobava ubicada" "Estava ubicada"
"es trobava ubicat" "estava ubicat"
"Es trobava ubicat" "Estava ubicat"
"es trobaven ubicades" "estaven ubicades"
"Es trobaven ubicades" "Estaven ubicades"
"es trobaven ubicats" "estaven ubicats"
"Es trobaven ubicats" "Estaven ubicats"
"es troben ubicades" "estan ubicades"
"Es troben ubicades" "Estan ubicades"
"es troben ubicats" "estan ubicats"
"Es troben ubicats" "Estan ubicats"
"é suna" "és una"
"é sun" "és un"
"es usada" "és usada"
"Es usada" "És usada"
"es usat" "és usat"
"Es usat" "És usat"
"es utilitzada" "és utilitzada"
"Es utilitzada" "És utilitzada"
"es utilitzat" "és utilitzat"
"Es utilitzat" "És utilitzat"
"esva" "es va"
"es va es va" "es va"
"es va fer amb el control" "va prendre el control"
"Es va fer amb el control" "Va prendre el control"
"es va fer amb el poder" "va prendre el poder"
"Es va fer amb el poder" "Va prendre el poder"
"es van fer amb el control" "van prendre el control"
"Es van fer amb el control" "Van prendre el control"
"es van fer amb el poder" "van prendre el poder"
"Es van fer amb el poder" "Van prendre el poder"
evaluació avaluació
evaluacions avaluacions
exàmen examen
examens exàmens
excelència excel·lència
excercit exercit
exclós exclòs
Exclós Exclòs
exclussiu exclusiu
exclussius exclusius
exclussiva exclusiva
exclussivament exclusivament
exclussives exclusives
exepcional excepcional
Exepcional Excepcional
exércit exèrcit
exércits exèrcits
éxit èxit
Éxit Èxit
éxits èxits
experiemnt experiment
expolià espolià
expoliaren espoliaren
exposció exposició
Exposció Exposició
exposcions exposicions
Exposcions Exposicions
extendre estendre
"extendre's" "estendre's"
extenen estenen
extenent estenent
Extenent Estenent
extén estén
extèn estén
extraditades extradites
extraditat extradit
extraditats extradits
extraodinària extraordinària
extraodinàriament extraordinàriament
extraodinàries extraordinàries
extraodinari extraordinari
extraodinaris extraordinaris
extrordinària extraordinària
extrordinàriament extraordinàriament
extrordinàries extraordinàries
extrordinari extraordinari
extrordinaris extraordinaris
extrovertides extravertides
extrovertit extravertit
extrovertits extravertits
fàcilmemt fàcilment
"fan referencia" "fan referència"
faràn faran
"fa referencia" "fa referència"
"Fa referencia" "Fa referència"
faría faria
faríen farien
"feia referencia" "feia referència"
fenòmen fenomen
Fenòmen Fenomen
fenomens fenòmens
Fenomens Fenòmens
"fent referencia" "fent referència"
"fent us" "fent ús"
féren feren
féren feren
Ferràn Ferran
Ferràn Ferran
"fer referencia" "fer referència"
"fer-se amb el control" "prendre el control"
"fer-se amb el poder" "prendre el poder"
"fer us" "fer ús"
fés fes
Fés Fes
fèsol fesol
fèsols fesols
"fet de que" "fet que"
"filla i neta" "filla i néta"
"Filla i neta" "Filla i néta"
"fill i net" "fill i nét"
"Fill i net" "Fill i nét"
"fills i nets" "fills i néts"
finalemnt finalment
"fins a aleshores" "fins aleshores"
"Fins a aleshores" "Fins aleshores"
"fins a ara" "fins ara"
"Fins a ara" "Fins ara"
"fins a avui" "fins avui"
"Fins a avui" "Fins avui"
"fins acabar" "fins a acabar"
"fins aconseguir" "fins a aconseguir"
"fins a llavors" "fins llavors"
"fins a llavors" "fins llavors"
"Fins a llavors" "Fins llavors"
"Fins a llavors" "Fins llavors"
"finsals" "fins als"
"fins a que" "fins que"
"Fins a que" "Fins que"
"fins arribar" "fins a arribar"
"fins assolir" "fins a assolir"
"fins els anys" "fins als anys"
"Fins els anys" "Fins als anys"
"fins el segle" "fins al segle"
"Fins el segle" "Fins al segle"
"fins hi tot" "fins i tot"
"fins-hi tot" "fins i tot"
"Fins hi tot" "Fins i tot"
"Fins-hi tot" "Fins i tot"
"fins l'actualitat" "fins a l'actualitat"
"Fins l'actualitat" "Fins a l'actualitat"
"fins l'any" "fins a l'any"
"fins l'any" "fins a l'any"
"Fins l'any" "Fins a l'any"
"Fins l'any" "Fins a l'any"
fonamentalemnt fonamentalment
forània forana
forànies foranes
forani forà
foràni forà
foranis forans
forànis forans
forçes forces
Forçes Forces
"fóren" "foren"
"foren trasllades" "foren traslladades"
"foren trasllats" "foren traslladats"
"forma més comú" "forma més comuna"
"fòrmula" "fórmula"
"Fòrmula" "Fórmula"
"fòrmules" "fórmules"
"Fòrmules" "Fórmules"
fosat fossat
fosats fossats
"foses nasals" "fosses nasals"
fós fos
fóssin fossin
fóu fou
Fóu Fou
"fou nombrada" "fou nomenada"
"fou nombrat" "fou nomenat"
"fou trasllada" "fou traslladada"
"fou trasllat" "fou traslladat"
fracasades fracassades
fracasà fracassà
fracasaren fracassaren
fracasat fracassat
fracasats fracassats
francesses franceses
francessos francesos
"franco-prussià" francoprussià
"franco-prussiana" francoprussiana
"franco-prussianes" francoprussianes
"franco-prussians" francoprussians
"franc-prusià" francoprussià
"franc-prusiana" francoprussiana
"franc-prusianes" francoprussianes
"franc-prusians" francoprussians
"franc prussià" francoprussià
"franc-prussià" francoprussià
"franc prussiana" francoprussiana
"franc-prussiana" francoprussiana
"franc prussianes" francoprussianes
"franc-prussianes" francoprussianes
"franc prussians" francoprussians
"franc-prussians" francoprussians
frustació frustració
frustada frustrada
frustades frustrades
frustà frustrà
frustant frustrant
frustaren frustraren
frustar frustrar
frustat frustrat
frustats frustrats
fusellatge fuselatge
fusellatges fuselatges
fusselatge fuselatge
fussellatge fuselatge
Gàl·llia Gàl·lia
"gal·lo-romà" "gal·loromà"
"gal·lo-romana" "gal·loromana"
"gal·lo-romanes" "gal·loromanes"
"gal·lo-romans" "gal·loromans"
garantitzada garantida
garantitzades garantides
garantitza garanteix
garantitzà garantí
garantitzaren garantiren
garantitzar garantir
garantitzar garantir
garantitzat garantit
garantitzats garantits
garantitzen garanteixen
génere gènere
Génere Gènere
genuïtat genuïnitat
Geomorfològicamnet Geomorfològicament
germá germà
gobernació governació
"Gobern d'Espanya" "Govern d'Espanya" 
goberns governs
"gracies a" "gràcies a"
"Gracies a" "Gràcies a"
"gràcies això" "gràcies a això"
"Gràcies això" "Gràcies a això"
"gracies al" "gràcies al"
"Gracies al" "Gràcies al"
"gracies als" "gràcies als"
"Gracies als" "Gràcies als"
grecorromà grecoromà
grecorromanes grecoromanes
grecorromans grecoromans
Guadassèquies Guadasséquies
"haber-hi" "haver-hi"
"haber-se" "haver-se"
"habitat natural" "hàbitat natural"
"ha confundat" "ha cofundat"
"Ha confundat" "Ha cofundat"
"ha esta" "ha estat"
"Ha esta" "Ha estat"
hagessin haguessin
haguè hagué
haguéren hagueren
haguès hagués
haguéssen haguessin
haguéssin haguessin
haugés hagués
hauría hauria
hauríen haurien
Hausburg Habsburg
helenització hel·lenització
heroïca heroica
heroïc heroic
heroïcs heroics
heroïques heroiques
heterogeneitat heterogeneïtat
"hi ha especies" "hi ha espècies"
"Hi ha especies" "Hi ha espècies"
hiha "hi ha"
"hi han altres" "hi ha altres"
"Hi han altres" "Hi ha altres"
"històrico-artística" "historicoartística"
"historico-artístic" "historicoartístic"
"Historico-artístic" "Historicoartístic"
"històrico-artístic" "historicoartístic"
"històrico-artístics" "historicoartístics"
"Històrico-Artístics" "Historicoartístics"
"Hi va haver-hi" "Hi va haver"
"hi va hi haver" "hi va haver"
homentatge homenatge
homogeneitat homogeneïtat
huitcents "huit-cents"
"ia continuació" "i a continuació"
idílic idíl·lic
idílics idíl·lics
idíliques idíl·liques
ill·lustració il·lustració
il·llustrat il·lustrat
il·llustres il·lustres
imporant important
imporants importants
impòrtancia importància
impresionant impressionant
impresionants impressionants
incautació confiscació
incautacions confiscacions
incautà confiscà
incautades confiscades
incautaren confiscaren
incautat confiscat
incautats confiscats
incloemnt incloent
inclós inclòs
inclós inclòs
Inclós Inclòs
Inclós Inclòs
inclossa inclosa
inclosses incloses
inclossos incloses
incovenient inconvenient
incrememnt increment
indentitat identitat
indentitats identitats
individuu individu
individuus individus
indivual individual
indivuals individuals
"indústria pesada" "indústria pesant"
"Indústria pesada" "Indústria pesant"
"indústries pesades" "indústries pesants"
"Indústries pesades" "Indústries pesants"
infòs infós
inicialemnt inicialment
inmediatament immediatament
Inmediatament Immediatament
inmediat immediat
inmediats immediats
inmens immens
inmers immers
inmobiliària immobiliària
inmobiliàries immobiliàries
inmobiliari immobiliari
inmobiliaris immobiliaris
Inrevès Inrevés
insertades inserides
insertat inserit
insertats inserits
instalació instal·lació
Instalació Instal·lació
instalacions instal·lacions
Instalacions Instal·lacions
"instalades" "instal·lades"
"instalà" "instal·là"
"instalaren" "instal·laren"
"instalat" "instal·lat"
"instalats" "instal·lats"
instalessin "instal·lessin"
instamnt instant
"instant en que" "instant en què"
"instants en que" "instants en què"
interesant interessant
interesants interessants
"inter-ètnics" interètnics
intermig intermedi
Intermig Intermedi
intermitges intermèdies
Intermitges Intermèdies
intermitja intermèdia
Intermitja Intermèdia
intermitjos intermedis
Intermitjos Intermedis
ïntimamnet íntimament
intuició intuïció
intuicions intuïcions
invair envair
"iq ue" "i que"
"i rodalies" "i rodalia"
Japò Japó
juntamemt juntament
juntamnt juntament
juventuts joventuts
Juventuts Joventuts
" la actualitat" " l'actualitat"
"La actualitat" "L'actualitat"
" la asimetria" " l'asimetria"
"l'accès" "l'accés"
" la constat" " la constant"
"l'actualiat" "l'actualitat"
"l'actualitad" "l'actualitat"
"l'actulitat" "l'actualitat"
"l'acualitat" "l'actualitat"
" la enfermetat" " la malaltia"
"lae seva" "la seva"
" la espècie" " l'espècie"
"La espècie" "L'espècie"
" la esquerra" " l'esquerra"
" la estàtua" " l'estàtua"
"La estàtua" "L'estàtua"
" la expedició" " l'expedició"
" la Expedició" " l'Expedició"
" la hipòtesis" " la hipòtesi"
"La hipòtesis" "La hipòtesi"
" la homosexualitat" " l'homosexualitat"
"La homosexualitat" "L'homosexualitat"
" la hostilitat" " l'hostilitat"
"La hostilitat" "L'hostilitat"
" la illa" " l'illa"
" la Illa" " l'Illa"
"l'aixecamnet" "l'aixecament"
"l'Ajuntamnet" "l'Ajuntament"
"l'alçada de les circumstàncies" "l'altura de les circumstàncies"
"l'àmpit" "l'ampit"
"l'angel" "l'àngel"
" la organització" " l'organització"
" la Organització" " l'Organització"
"La organització" "L'organització"
"La Organització" "L'Organització"
"lapart" "la part"
" la petita pantalla" " la pantalla petita"
"l'apostrof" "l'apòstrof"
"L'apostrof" "L'apòstrof"
"l'arxipelag" "l'arxipèlag"
" la seua la seua" " la seua"
" la seues" " les seues"
"La seues" "Les seues"
"la seva familia" "la seva família"
"La seva familia" "La seva família"
" la seva la seva" " la seva"
" la seves" " les seves"
"La seves" "Les seves"
lasituació "la situació"
"l'asociació" "l'associació"
"l'Asociació" "l'Associació"
"las seves" "les seves"
"Las seves" "Les seves"
"l'atencio" "l'atenció"
latitut latitud
Latitut Latitud
latituts latituds
Latituts Latituds
"lea seva" "la seva"
"l'edfici" "l'edifici"
"L'edfici" "L'edifici"
"l'edifci" "l'edifici"
"L'edifci" "L'edifici"
legendària llegendària
legendàries llegendàries
legendari llegendari
legendaris llegendaris
"l'eïna" "l'eina"
"l'ela" "la ela"
"L'ela" "La ela"
"l'èlit" "l'elit"
"l'embaixada" "l'ambaixada"
"L'embaixada" "L'ambaixada"
"l'embasamemt" "l'embasament"
"l'enderrocaemnt" "l'enderrocament"
"l'enfermetat" "la malaltia"
"l'enfoc" "l'enfocament"
"l’enfoc" "l’enfocament"
"L'enfoc" "L'enfocament"
"L’enfoc" "L’enfocament"
"l'enregistramnt" "l'enregistrament"
"l'entèn" "l'entén"
"l'època en la que" "l'època en què"
"L'època en la que" "L'època en què"
"l'època en la què" "l'època en què"
"l'època en que" "l'època en què"
"l'època en que" "l'època en què"
"l'època, en que" "l'època, en què"
"L'època en que" "L'època en què"
"l'equinoci" "l'equinocci"
"l'escisió" "l'escissió"
"L'escisió" "L'escissió"
"les cuals" "les quals"
"l'esdevinemnt" "l'esdeveniment"
"les estrategies" "les estratègies"
"le seues" "les seues"
"Le seues" "Les seues"
"le seves" "les seves"
"Le seves" "Les seves"
"les families" "les famílies"
"l'esglesia" "l'església"
"l'Esglesia" "l'Església"
"L'esglesia" "L'església"
"L'Esglesia" "L'Església"
"les noticies" "les notícies"
"Les noticies" "Les notícies"
"l'especimen" "l'espècimen"
"L'especimen" "L'espècimen"
"l'especímen" "l'espècimen"
"l'espressió" "l'expressió"
"Les questions" "Les qüestions"
"l'estàndar" "l'estàndard"
"L'estàndar" "L'estàndard"
"l'estatu quo" "l'statu quo"
"l'estatus quo" "l'statu quo"
"l'estrategia" "l'estratègia"
"L'estrategia" "L'estratègia"
"l'etapa en la que" "l'etapa en què"
"l'evaluació" "l'avaluació"
"L'evaluació" "L'avaluació"
"l'exàmen" "l'examen"
"L'exàmen" "L'examen"
"l'exércit" "l'exèrcit"
"l'existencia" "l'existència"
"l'exit" "l'èxit"
"L'exit" "L'èxit"
"l'éxit" "l'èxit"
"L'éxit" "L'èxit"
"l'helenització" "l'hel·lenització"
liders líders
liliputienc lil·liputienc
liliputiencs lil·liputiencs
"l'impartiment" "la impartició"
"l'importància" "la importància"
"L'importància" "La importància"
"l'inauguració" "la inauguració"
"L'inauguració" "La inauguració"
"l'incremnt" "l'increment"
linguística lingüística
linguístic lingüístic
linguístics lingüístics
linguístiques lingüístiques
linial lineal
Linial Lineal
linialment linealment
linials lineals
Linials Lineals
"l'intenció" "la intenció"
"l'intermig" "l'intermedi"
"li pasa" "li passa"
líquen liquen
Líquen Liquen
liquens líquens
Liquens Líquens
liquidesa liquiditat
"llarg-metratge" llargmetratge
"llarg-metratges" llargmetratges
"llarg plaç" "llarg termini"
llavots llavors
Llavots Llavors
lleugeramnt lleugerament
"llindava amb" "confrontava amb"
"Llistes de ventes" "Llistes de vendes"
"Llistes ventes" "Llistes de vendes"
llloc lloc
Llloc Lloc 
lña la
localamnt localment
"Localitats costeres" "Localitats costaneres"
"localitats limítrofs" "localitats limítrofes"
"Localitats limítrofs" "Localitats limítrofes"
longitudinalemnt longitudinalment
longitut longitud
Longitut Longitud
longituts longituds
Longituts Longituds
"l'opocisió" "l'oposició"
"l'orígen" "l'origen"
"L'orígen" "L'origen"
"l'Scala" "la Scala"
"l'status quo" "l'statu quo"
"l'ùnic" "l'únic"
"L'ùnic" "L'únic"
"l'us" "l'ús"
"L'us" "L'ús"
"l'utilització" "la utilització"
"L'utilització" "La utilització"
malgart malgrat
Malgart Malgrat
Managememt Management
"manera més comú" "manera més comuna"
mantigué mantingué
mantigueren mantingueren
mantigut mantingut
mantinguent mantenint
marquessa marquesa
Marquessa Marquesa
marquessat marquesat
Marquessat Marquesat
marquessats marquesats
Marquessats Marquesats
marquesses marqueses
Marquesses Marqueses
marquessos marquesos
Marquessos Marquesos
Masachusets Massachusetts
Massachusets Massachusetts
Massachussets Massachusetts
Massachussetts Massachusetts
"mateixa época" "mateixa època"
matiex mateix
matingut mantingut
matissos matisos
mentretant mentrestant
Mentretant Mentrestant
mereixer merèixer
"més abaix" "més avall"
"més antigua" "més antiga"
"mes enlla" "més enllà"
"més enlla" "més enllà"
"mes enllà" "més enllà"
"Mes enllà" "Més enllà"
"mesos desprès" "mesos després"
"mes tard" "més tard"
"Mes tard" "Més tard"
metàliques metàl·liques
metall·lúrgica metal·lúrgica
"metall pesat" "metall pesant"
"Metall pesat" "Metall pesant"
"metalls pesats" "metalls pesants"
"Metalls pesats" "Metalls pesants"
meyns menys
"mig plaç" "mitjà termini"
mileni mil·lenni
milenis mil·lennis
milenni mil·lenni
Milenni Mil·lenni
Milenni Mil·lennis
milennis mil·lennis
miligrams mil·ligrams
milímetre mil·límetre
milimetres mil·límetres
milímetres mil·límetres
milisegon mil·lisegon
milisegons mil·lisegons
milivats mil·liwatts
milivolts mil·livolts
mil·lenaria mil·lenària
mil·lenaries mil·lenàries
mil·leni mil·lenni
Mil·leni Mil·lenni
mil·lenis mil·lennis
mil·lennària mil·lenària
mil·lennàries mil·lenàries
mil·lennari mil·lenari
Mil·lennari Mil·lenari
mil·lennaris mil·lenaris
mil·limetre mil·límetre
mil·limetres mil·límetres
mil·lió milió
mil·lions milions
mil·lleni mil·lenni
milllor millor
Milllor Millor
millons milions
Millons Milions
mitjanç mitjans
"mitjà plaç" "mitjà termini"
moemnt moment
"molt escasa" "molt escassa"
"moltes especies" "moltes espècies"
"Moltes especies" "Moltes espècies"
"moltes poques" "molt poques"
"molts pocs" "molt pocs"
"Molts pocs" "Molt pocs"
momemnt moment
momentàneament momentàniament
"moment en el que" "moment en què"
"moment en que" "moment en què"
"moments en que" "moments en què"
momnet moment
momunemnt monument
monitoritzar monitorar
monoteïsme monoteisme
Monoteïsme Monoteisme
monoteïsta monoteista
Monoteïsta Monoteista
monoteïstes monoteistes
Monoteïstes Monoteistes
monumnet monument
monumnt monument
"motiu pel que" "motiu pel qual"
motxil·la motxilla
motxil·les motxilles
moviemnt moviment
muncipal municipal
Muncipal Municipal
muncipals municipals
"municipi limítrofe" "municipi limítrof"
"municipis limítrofes" "municipis limítrofs"
"Municipis limítrofes" "Municipis limítrofs"
municpal municipal
"musica de cambra" "música de cambra"
"Musica de cambra" "Música de cambra"
"música de càmera" "música de cambra"
"Música de càmera" "Música de cambra"
músicalment musicalment
Músicalment Musicalment
músical musical
Músical Musical
músicals musicals
Músicals Musicals
mùsica música
mùsic músic
mùsics músics
mùsiques músiques
mutuament mútuament
naixememnt naixement
naixememt naixement
naixer nàixer
naixqué nasqué
naració narració
narracció narració
Narracció Narració
nasquè nasqué
nasquè nasqué
Nasquè Nasqué
Nasquè Nasqué
necesitat necessitat
Necesitat Necessitat
necesitats necessitats
Necesitats Necessitats
neixement naixement
Neixement Naixement
neixements naixements
neixé naixé
neixeren naixeren
neixer néixer
nèixer néixer
neixia naixia
Neixia Naixia
neixien naixien
Neixien Naixien
nesqué nasqué
"net del rei" "nét del rei"
níexer néixer
"Nom amb el que" "Nom amb el qual"
"nom complert" "nom complet"
"Nom complert" "Nom complet"
nomès només
Nomès Només
Nordamèrica Nord-amèrica
Nord-Amèrica Nord-amèrica
nordamericà nord-americà
Nordamericà Nord-americà
nordamericans nord-americans
Nordamericans Nord-americans
nordest nord-est
nordoest nord-oest
normalemnt normalment
noucents "nou-cents"
"novel•la" "novel·la"
"novel∙la" "novel·la"
numeroses nombroses
numerós nombrós
ñla la
objetivament objectivament
obtinguè obtingué
Obtinguè Obtingué
ocacions ocasions
ocació ocasió
ocasionalemnt ocasionalment
ocorrer ocórrer
oïent oient
oïents oients
opocisió oposició
opossicions oposicions
opossició oposició
organizació organització
Organizació Organització
orígen origen
Orígen Origen
origens orígens
Origens Orígens
otorgà atorgà
otorgaren atorgaren
otorguen atorguen
paisatje paisatge
Paisatje Paisatge
paisatjes paisatges
Paisatjes Paisatges
paisatjística paisatgística
paisatjístic paisatgístic
paisatjístics paisatgístics
paisatjístiques paisatgístiques
"països limítrofes" "països limítrofs"
paisos països
paísos països
Paísos Països
païssos països
Païssos Països
"país Valencia" "País Valencià"
"País Valencia" "País Valencià"
"País València" "País Valencià"
"pals a les rodes" "bastons a les rodes"
pannell panell
paralelament paral·lelament
Paralelament Paral·lelament
paral·lament paral·lelament
Paral·lament Paral·lelament
"paral·lelas" "paral·leles"
paral·llament paral·lelament
paral·lles paral·leles
"parcial o totalment" "parcialment o totalment"
pareixer parèixer
partícep partícip
partíceps partícips
participacio participació
pasà passà
pasaren passaren
pasés passés
pasessin passessin
passàren passaren
peixer péixer
pèixer péixer
"pel darrera" "pel darrere"
"Pel darrera" "Pel darrere"
"pel est" "per l'est"
"pel·lícula d'horror" "pel·lícula de terror"
"pel.licula" "pel·lícula"
"pel•licula" "pel·lícula"
pel·licula pel·lícula
Pel·licula Pel·lícula
"pel·lícules d'horror" "pel·lícules de terror"
"pel.licules" "pel·lícules"
pel·licules pel·lícules
Pel·licules Pel·lícules
pel·llícula pel·lícula
"pel oest" "per l'oest"
"pels complexes" "pels complexos"
"pels cuals" "pels quals"
penòs penós
pensamemt pensament
Penyíscola Peníscola
"per altre banda" "per altra banda"
"Per altre banda" "Per altra banda"
"per altre part" "per altra part"
"Per altre part" "Per altra part"
"per be que" "per bé que"
"Per be que" "Per bé que"
"per conmemorar" "per commemorar"
"per darrera del" "per darrere del"
"Per darrera del" "Per darrere del"
"per darrera dels" "per darrere dels"
"Per darrera dels" "Per darrere dels"
"per darrera de" "per darrere de"
"Per darrera de" "Per darrere de"
peregrinatge pelegrinatge
Peregrinatge Pelegrinatge
peregrinatges pelegrinatges
Peregrinatges Pelegrinatges
"període en que" "període en què"
pèriode període 
"període rotacional" "període de rotació"
"Període rotacional" "Període de rotació"
"per kilometre" "per quilòmetre"
"per les afores" "pels afores"
permissos permisos
"per mitja del" "per mitjà del"
"per mitja dels" "per mitjà dels"
"per mitja de" "per mitjà de"
"per odre" "per ordre"
"Per odre" "Per ordre"
peró però
Peró Però
pèrò però
Pèrò Però
perpò però
pertanyença pertinença
pertanyer pertànyer
pertanyer pertànyer
pertengué pertangué
pertenyent pertanyent
pertenyents pertanyents
pertènyer pertànyer
pertenyia pertanyia
pertenyien pertanyien
"per una altre part" "per una altra part"
"Per una altre part" "Per una altra part"
"per un altre part" "per una altra part"
"Per un altre part" "Per una altra part"
"pintor de càmera" "pintor de cambra"
"Pintor de càmera" "Pintor de cambra"
plaços terminis
plastelina plastilina
plujes pluges
Plujes Pluges
pobablement probablement
"poblacions limítrofs" "poblacions limítrofes"
pobrement pobrament
"poc desprès" "poc després"
"Poc desprès" "Poc després"
podiem podíem
Podiem Podíem
podriem podríem
Podriem Podríem
poguéssin poguessin
"pol·lens" "pòl·lens"
"Pol·lens" "Pòl·lens"
pol·lítica política
pol·lític polític
"poques vegade" "poques vegades"
portavions portaavions
portès portés
portugesa portuguesa
portugeses portugueses
portugesos portuguesos
portugés portugués
portugès portuguès
posaràn posaran
posesions possessions
posessions possessions
posessió possessió
possar posar
posseixen posseeixen
Posseixen Posseeixen
posseix posseeix
Posseix Posseeix
possesions possessions
possibitat possibilitat
Possibitat Possibilitat
possicions posicions
possició posició
posssible possible
Postdam Potsdam
posterioment posteriorment
Posterioment Posteriorment
Posteriormnet Posteriorment
pràcticamnet pràcticament
pràcticamnet pràcticament
precissament precisament
precissa precisa
precissar precisar
precissen precisen
precisses precises
precissos precisos
"predil·lecció" predilecció
"predil·lecte" predilecte
preeliminar preliminar
preeliminars preliminars
"pre-existent" "preexistent"
"pre-existents" "preexistents"
prememnt prement
"prendre foc" "calar foc"
prènen prenen
prén pren
prèn pren
Prèn Pren
prequel·la preqüela
preqüel·la preqüela
prequel·les preqüeles
preqüel·les preqüeles
prespectiva perspectiva
Prespectiva Perspectiva
prespectives perspectives
Prespectives Perspectives
"pressa de possessió" "presa de possessió"
pressenta presenta
pressentat presentat
pressoner presoner
Pressoner Presoner
pressoners presoners
pressons presons
pressó presó
pressumptament presumptament
Pressumptament Presumptament
pressumpta presumpta
Pressumpta Presumpta
pressumpte presumpte
Pressumpte Presumpte
pressumptes presumptes
Pressumptes Presumptes
pressuntament presumptament
prestamistes prestadors
presuntament presumptament
"pret a porter" "prêt-à-porter"
"pret-a-porter" "prêt-à-porter"
"Pret a porter" "Prêt-à-porter"
"Pret-a-porter" "Prêt-à-porter"
"prét-a-porter" "prêt-à-porter"
"prét-a-porter" "prêt-à-porter"
"prèt-a-porter" "prêt-à-porter"
"pret-à-porter" "prêt-à-porter"
"prét à porter" "prêt-à-porter"
"Prét-à-porter" "Prêt-à-porter"
"prèt-à-porter" "prêt-à-porter"
"prét-â-porter" "prêt-à-porter"
"prèt-â-porter" "prêt-à-porter"
pretencions pretensions
pretenciós pretensiós
pretèn pretén
Pretèn Pretén
previament prèviament
pricipalemnt principalment
pricipalment principalment
pricipal principal
pricipals principals
pricipi principi
pricipis principis
"primera vagada" "primera vegada"
"primera vegade" "primera vegada"
"primer vegada" "primera vegada"
principalemnt principalment
probablament probablement
Probablament Probablement
probablemen probablement
problablement probablement
Problablement Probablement
procediemnt procediment
Procediemnt Procediment
produida produïda
produides produïdes
"produit pels" "produït pels"
"produit per" "produït per"
Progresiavemnt Progressivament
progresiu progressiu
progresius progressius
progresives progressives
promiscuitat promiscuïtat
propiament pròpiament
"propietats costeres" "propietats costaneres"
protocolària protocol·lària
protocolàries protocol·làries
protocolari protocol·lari
protocolaris protocol·laris
provablement probablement
Provablement Probablement
provatòria probatòria
provatòries probatòries
provatori probatori
provatoris probatoris
proveida proveïda
proveides proveïdes
proveit proveït
proveits proveïts
#provista proveïda
provistes proveïdes
provistos proveïts
provist proveït
provists proveïts
prusianes prussianes
prusians prussians
prusià prussià
Ptolomeu Ptolemeu
pugué pogué
puguera poguera
pugueren pogueren
pugués pogués
puguessin poguessin
pujen pugen
pujés pugés
pujessin pugessin
pujin pugin
pulseres polseres
"punt en que" "punt en què"
"punt i final" "punt final"
qaurta quarta
qaurt quart
qeu que
qie que
quadrieni quadrienni
quadrienis quadriennis
quadrúpeds quadrúpedes
quarentena quarantena
quaselvol qualsevol
"quasibe" "gairebé"
"Quasibe" "Gairebé"
"quasi bé" "gairebé"
"quasibé" "gairebé"
"Quasi bé" "Gairebé"
"Quasibé" "Gairebé"
"quasibè" "gairebé"
"Quasibè" "Gairebé"
quatitat quantitat
quatitats quantitats
"quatre cent" "quatre-cents"
"quatre-cent" "quatre-cents"
quatrecents "quatre-cents"
quatrieni quadrienni
quatrienis quadriennis
quatrienni quadrienni
quatriennis quadriennis
"que desprès" "que després"
"que fà" "que fa"
"que llinda amb" "que confronta amb"
"que possés" "que posés"
questiona qüestiona
questionà qüestionà
Questionà Qüestionà
questionaren qüestionaren
questionar qüestionar
questió qüestió
